epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.627553403377533,0.0010000000474974513,0.980556845664978,0.8048959374427795,0.645114541053772
1,0.7990480065345764,0.0010000000474974513,0.5956477522850037,0.8335373401641846,0.5076565146446228
2,0.8635931015014648,0.0010000000474974513,0.3957875370979309,0.8159118890762329,0.5431642532348633
3,0.8963688015937805,0.0010000000474974513,0.29947441816329956,0.8903304934501648,0.3784753084182739
4,0.9108663201332092,0.0010000000474974513,0.2505537271499634,0.8832313418388367,0.3912630081176758
5,0.9383381009101868,0.0010000000474974513,0.18377786874771118,0.9001224040985107,0.3835045099258423
6,0.9497076272964478,0.0005000000237487257,0.14653733372688293,0.8866584897041321,0.42631980776786804
7,0.9589011073112488,0.0005000000237487257,0.11630402505397797,0.9003672003746033,0.4336923658847809
8,0.9656195044517517,0.0002500000118743628,0.1004742830991745,0.8957160115242004,0.4330499768257141
9,0.9703522324562073,0.0002500000118743628,0.08884599804878235,0.8947368264198303,0.46431830525398254
10,0.9752209782600403,0.0001250000059371814,0.07603496313095093,0.8935128450393677,0.4685875177383423
11,0.9771794080734253,0.0001250000059371814,0.07143398374319077,0.895960807800293,0.47799941897392273
